city,latitude,longitude,additional_info,address,area,guest_recommendation,hotel_description,hotel_facilities,hotel_star_rating,property_name,property_id,property_type,province,review_count_by_category,room_area,room_facilities,room_type,site_review_count,site_review_rating,site_stay_review_rating,state,uniq_id
Rajahmundry,17.0005383,81.8040345,,"Fort Gate Road ,Pushkar Ghat Road",Pushkar Ghat,66,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly . Terms and Conditions: It is mandatory for guests to present valid photo identification at the time of check-in. and should carry hotel Booking Voucher at the time of check in. Unmarried Couples not allowed,Front Desk,0,Bommana Residency,HTLGBO1000007717,Lodge,Rajahmundry,positive reviews::131|critical reviews::92|reviews with images::30,,Basic Bathroom Amenities,Standard Ac Room,223,3.1,Service Quality::3.0|Amenities::3.0|Food and Drinks::3.2|Value for Money::3.2|Location::3.4|Cleanliness::3.2,Andhra Pradesh,b13d3e6331f0297e207ca5670aeb7560
Hyderabad,17.4027421,78.4524591,,"6-3-596/23/1, Venkata Ramana Colony, Banjara Hills Road No.1, Near Fusion 9 Pub,",Banjara Hills Area,,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Parking Facilities Available|Doorman|Children's Park|Outdoor Parking - Secured|Parking Facility,0,Blueberry Service Apartments,HTLGBO1000085808,Service Apartment,Hyderabad,,,Shower Facility Available|Attached Bathroom|Clothes Hook in Bathroom|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Extra Toilteries on Demand|Modern Toilet Facilities|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting|Western Toilet Seat,Luxury Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,82e2a37e8837c0aae355396cea4ea6ee
Chittoor,13.63665459,78.96217211,Room Service,"1/116, Kadapa Road, Piler, Chittor(Dist), Andhra Pradesh, India., Andhra Pradesh 517214",Piler,,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Medical Assistance Available|Smoking Rooms|Extra Person / Child - Share the same room|Room Service (24 Hours)|STD / ISD,0,BKR Residency,HTLGBO1000068102,Homestay,Chittoor,,,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan| Hot / Cold Running Water|Desk in Room|HD / LCD Satellite TV,Standard AC,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,1346c458079769a9593f0a390f3c9e8c
Visakhapatnam,17.71298103,83.29956326,Room Service|Internet Access|Restaurant,"Door No: 28-10-25/3,Surya Bagh,Chitralaya road.",Jagadamba Junction,60,The standard check-in time is 10:00 AM and the standard check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  Terms and Conditions: It is mandatory for guests to present valid photo identification at the time of check-in. and should carry hotel Booking Voucher at the time of check in. Unmarried Couples not allowed,Banquet Facilities|Bar / Lounge |Doctor on Call|Laundry Service Available|Lift / Elevator|Lobby|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Wedding Services Facility|Catering|Multi Lingual Staff|Kitchen available (home cook food on request)|Smoking Area |Vegetarian Food / Jain Food Available|Water Dispenser Available|Food Facility|Newspapers In Lobby|Room Service (24 Hours)|Party hall|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility,0,Blue Moon Hotel,HTLGBO1000006519,Hotel,Visakhapatnam,positive reviews::41|critical reviews::37|reviews with images::10,,Room Service |Air Conditioning |Balcony / Terrace|Cable / Satellite / Pay TV available|Telephone,Standard Room A/C,78,2.9,Service Quality::2.8|Amenities::2.9|Food and Drinks::2.6|Value for Money::3.0|Location::3.2|Cleanliness::3.2,Andhra Pradesh,790de01b1d232d3a1a6a80f7aa9c1e67
Hyderabad,17.5392302,78.9481657,,"Country Kuteeram, Kunoor Village, Mothukur Road, Bhongir, Near Yadagiri Gutta Entrance, Nalagonda",Others,80,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Food Facility,0,Country Spa Kuteeram,HTLGBO1000038098,Resort,Hyderabad,positive reviews::17|critical reviews::4|reviews with images::3,,Basic Bathroom Amenities| Hot / Cold Running Water|Housekeeping|Desk in Room|Luggage Rack,Standard AC Room,21,3.7,Service Quality::3.6|Amenities::3.5|Food and Drinks::4.0|Value for Money::3.8|Location::3.6|Cleanliness::4.0,Andhra Pradesh,261e58184318f343a2746a2e72c9ffa4
Hyderabad,17.4027421,78.4524591,,"Survey No. 13P Chilkuri Balaji Temple Road Aziz Nagar Village Moinabad, Hyderabad  Telangana,",Others,,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,,0,D Lake View Resort,HTLGBO1000070530,Resort,Hyderabad,,,Room Service |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Attached Bathroom,Deluxe,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,481e26469a7609341898aa244042fce9
Hyderabad,15.9128998,79.7399875,Room Service|Internet Access,"plot no-105, Sai AMU residency, SA Society, Madhapur",Hi-Tech City,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly   *   It is mandatory for guests to present valid photo identification at the time of check-in.   *   The primary guest checking in to the hotel must be at least 21 years of age.   *   The hotel reserves the right of admission. Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.   *   The hotel reserves the right of admission for local residents. Accommodation can be denied to guests residing in the same city.   *   Local ID proof will not be valid.,"Airport Transfer Available / Surcharge|Banquet Facilities|Concierge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Pets Allowed|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Suitable For Children|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Veranda|Extra Person / Child - Share the same room|Water Dispenser Available|Taxi Services|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Courier Service|Internet / Fax (Reception area only)|Parking Facility",1,Classic Homes Guest House,HTLGBO1000019166,Guest House,Hyderabad,positive reviews::1|critical reviews::0|reviews with images::1,10 X 10 Sq.ft.,Room Service |Ceiling Fan,Standard Non A/c Room,1,3.6,Service Quality::3.6|Amenities::3.6|Food and Drinks::3.6|Value for Money::3.6|Location::3.6|Cleanliness::3.6,Andhra Pradesh,d9cc9a67aba417f4b40b063e05a00e06
Hyderabad,17.43793508,78.45767568,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,"6-3-1219/A, Kundan Bagh Road, Uma Nagar, Beside Begumpet Railway Station, Begumpet, Hyderabad, Telangana",Begumpet,52,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Bar / Lounge |Beauty Salon - on charge|Concierge|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Night Club|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Spa On Site - Chargeable|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Gardens|Wedding Services Facility|Multi Lingual Staff|In House Events |Kids Play Zone|Food Facility|Party hall|Parking Facility|Internet Access|Room Service|Ayurvedic Facilities |CCTV|Security at All Hotel Entrances,3,Country Club  Begumpet,HTLGBO1000036330,Hotel,Hyderabad,positive reviews::12|critical reviews::13|reviews with images::3,,Room Service |Air Conditioning |Ensuite / Private Bathroom|TV|Mirror,Cool Room,25,2.7,Service Quality::2.5|Amenities::2.4|Food and Drinks::2.7|Value for Money::2.6|Location::3.0|Cleanliness::2.6,Andhra Pradesh,46d595b2de431286d2f3c5f90a34fad8
Hyderabad,15.9128998,79.7399875,,"#4-5-423, Shamshiri Estate, Beside Krishna Childrens Hospital, Lakdikapul",Nampally,,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card. Without valid ID the guest will not be allowed to check in. Note- PAN Cards will not be accepted as a valid ID card.   *   It is mandatory for guests to present valid photo identification at the time of check-in.   *   The primary guest checking in to the hotel must be at least 21 years of age.   *   The hotel reserves the right of admission. Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.   *   The hotel reserves the right of admission for local residents. Accommodation can be denied to guests residing in the same city.   *   Local ID proof will not be valid.",Doctor on Call|Laundry Service Available|Lobby|Power Backup|Parking Facility,1,Deccan Classic Residency,HTLGBO1000038248,Service Apartment,Hyderabad,,10 X 12 Sq.ft.,"Room Service |Air Conditioning |Basic Bathroom Amenities| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Luggage Rack",Standard AC Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,0a24dec4e95717a8ea7813b23b51dd90
Hyderabad,17.4369108,78.45833493,Room Service|Restaurant|Free Internet,"HNo. 1-11-254 And 255, Srinivas Naik Estate, Street No 1, Lane Before Begumpet Old Airport, Before ICICI Bank 500016",Begumpet,69,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly According to government regulations, a valid Photo ID has to be carried by every person who stays at the hotel. The identification proofs accepted are Drivers License, Voters Card, Passport, Ration Card. Without valid ID the guest will not be allowed to check in. Note- PAN Cards will not be accepted as a valid ID card.   *   It is mandatory for guests to present valid photo identification at the time of check-in.   *   The primary guest checking in to the hotel must be at least 21 years of age.   *   The hotel reserves the right of admission. Accommodation can be denied to guests posing as a couple if suitable proof of identification is not presented at check-in.   *   The hotel reserves the right of admission for local residents. Accommodation can be denied to guests residing in the same city.   *   Local ID proof will not be valid.",Business Center |Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Food Facility|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,0,Executel Begumpet,HTLGBO1000000401,Service Apartment,Hyderabad,positive reviews::9|critical reviews::4|reviews with images::2,10 X 12 Sq.ft.,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Clothes Dryer|Tea Coffee Kettle / Maker,Premium Room,13,3.4,Service Quality::3.4|Amenities::3.1|Food and Drinks::3.6|Value for Money::3.5|Location::3.4|Cleanliness::4.0,Andhra Pradesh,36013084590bec36955d7b02e4b4fed9
Hyderabad,17.46907791,78.36790661,Room Service|Internet Access|Restaurant,"Plot 60,61, Green Hamlet, Shilpa Park, Near to HICC Back Gate ,Kondapur, Hyderabad",Hi-Tech City,75,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Our Inns reserve the right to admission. Accommodation can be denied to the guests posing as a couple if suitable identification and a non-local address proof is not presented at check-in. MAP plan includes limited menu meal.,Banquet Facilities|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|24 Hour Front Desk|Luggage Storage|Doorman|Air-Conditioning - Central|Power Backup|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Conference Facility |Food Facility|Newspapers In Lobby|Room Service (24 Hours)|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|First-Aid Kit at Front Desk,3,FabHotel MyPlace Kondapur HICC,HTLGBO1000003423,Hotel,Hyderabad,positive reviews::432|critical reviews::132|reviews with images::48,15 X 15 Sq.ft.,Room Service |Hairdryer (on request)|Iron / Ironing board available|Shower Facility Available|Newspapers|Housekeeping|Desk in Room|Split A.C's|Private Garden|Mini Refrigerator|Curtains/Shades|Do-Not-Disturb Notice|Dustbins|In-room Storage Space|Room Door Fitted with Lock and Key,Deluxe Room with free Wifi &amp; Breakfast,564,3.7,Service Quality::3.6|Amenities::3.6|Food and Drinks::3.6|Value for Money::3.8|Location::3.9|Cleanliness::3.9,Andhra Pradesh,38b7cac19b42dd074706450aa3584f40
